"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","Area.Ha","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","total_density","wetlandBirdRichness","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2_g","gwp_ch4_g","gwp_n2o_g","gwp_sum_g","pl_gwp_co2_g","log_gwp_ch4_g","pl_gwp_n2o_g","pl_gwp_sum_g","richnessConfirmed","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"27","MB02","MB",50.107042,-100.217505,NA,"Cropland",NA,NA,0.37,NA,NA,NA,NA,NA,NA,17,391.113193,18.29470047,0.019177472,3.667065006,2.906611426,2.956444258,17.21289162,9.97719785,0.262941928,27.4530314,2.8490168,2.300302274,1.087387914,3.313800805,17,16822.5121529647,64221.962711243,220780.35019445,7718124.40999817
"28","MB03","MB",50.095846,-100.231035,NA,"Cropland",NA,NA,0.09,NA,NA,NA,NA,NA,NA,6,359.0637298,7.588351791,0.027049595,3.581689533,2.026614412,3.299035963,15.80239475,4.138383533,0.370876459,20.31165474,2.764142206,1.420305261,1.376550176,3.013609951,6,3212.16996842716,14267.8395790805,71590.8188771966,7305577.46120846
"29","MB04","MB",50.099869,-100.228792,NA,"Cropland",NA,NA,0.06,NA,NA,NA,NA,NA,NA,11,377.3680572,10.72466151,0.025271193,3.631337373,2.372545904,3.231227309,16.6079682,5.848801402,0.346492822,22.80326242,2.813488525,1.766236752,1.317164529,3.128821209,11,13250.5832759769,20288.4280586949,91441.3567347657,7558372.25648266
"30","MB05","MB",50.098849,-100.213413,NA,"Cropland",NA,NA,0.01,NA,NA,NA,NA,NA,NA,16,348.8629459,42.72692723,0.026751255,3.552914693,3.754829336,3.287975854,15.35345825,23.30155703,0.366785928,39.02180121,2.735556165,3.148520184,1.366800714,3.664776577,16,15808.0176926952,79947.5201612849,412215.19696366,9149552.37005981
"31","MB06","MB",50.098656,-100.211296,NA,"Cropland",NA,NA,0.31,NA,NA,NA,NA,NA,NA,15,369.6503992,9.869173299,0.017441355,3.610703639,2.289416091,2.862115301,16.26831407,5.38225235,0.239138065,21.88970448,2.792976517,1.683106939,1.013211221,3.088096897,15,24061.0187396253,83186.4889790556,436369.269307526,9483327.52298111
"32","MB08","MB",50.122153,-100.275535,NA,"Grassland",NA,NA,0.28,NA,NA,NA,NA,NA,NA,23,141.6127423,4.328522649,0.007831236,2.655460677,1.465226294,2.074041137,6.232376787,2.360603112,0.107373925,8.700353824,1.854561843,0.858917142,0.513943587,2.176320049,23,29199.6612192596,114068.132227336,471072.351539044,7925216.43625856
"33","MB09","MB",50.11938,-100.272737,NA,"Grassland",NA,NA,0.44,NA,NA,NA,NA,NA,NA,20,297.2244219,4.284008625,0.013379115,3.393032433,1.454889166,2.599235237,13.08084681,2.336326944,0.183440778,15.60061453,2.57694275,0.848580014,0.821599913,2.751394027,20,29854.5707225446,93768.4484692557,423543.393815213,7938878.96103172
"34","MB10","MB",50.150564,-100.335437,NA,"Cropland",NA,NA,0.15,NA,NA,NA,NA,NA,NA,22,333.7929992,9.920171149,0.027067871,3.508832262,2.294570174,3.299709532,14.6902299,5.410064538,0.371127036,20.47142147,2.691784618,1.688261022,1.377144698,3.021407527,22,13067.4891719189,56451.5808084665,416377.041627789,8882229.78445843
"35","MB11","MB",50.149457,-100.323679,NA,"Both",NA,NA,1.8,NA,NA,NA,NA,NA,NA,16,188.5229525,4.968405025,0.008091601,2.939436529,1.603098868,2.105761359,8.296895139,2.709569365,0.110943779,11.11740828,2.130101431,0.996789716,0.529611098,2.416506557,16,78461.5405500816,189463.394378742,527485.965167067,9394001.48307948
"36","MB12","MB",50.157281,-100.333215,NA,"Grassland",NA,NA,0.39,NA,NA,NA,NA,NA,NA,23,28.03177353,10.50160917,-0.001151398,1.138905099,2.3515285,-0.54787552,1.233678353,5.727157577,-0.015786793,6.945049137,0.583210639,1.745219348,-0.078852225,1.958144872,23,94481.3039446169,169873.188214809,472550.686255316,9190441.96484196
"37","MB13","MB",50.157166,-100.333904,NA,"Both",NA,NA,3.94,NA,NA,NA,NA,NA,NA,21,148.8374388,8.979811963,0.008554051,2.704753485,2.194978943,2.159799459,6.55033568,4.897230252,0.117284418,11.56485035,1.902047578,1.588669791,0.557147119,2.455364739,21,93707.4666981218,170575.024633339,454727.255824641,9145499.64329645
"38","MB14","MB",50.15079,-100.322816,NA,"Grassland",NA,NA,0.9,NA,NA,NA,NA,NA,NA,20,369.6181499,18.05519756,0.018680619,3.61061652,2.893433597,2.93033996,16.26689478,9.846582541,0.256129598,26.36960692,2.792889923,2.287124445,1.066596514,3.273647113,20,62897.5707860218,201400.436850321,556145.202487916,9501353.98216865
"39","MB15","MB",50.36178,-100.201895,NA,"Cropland",NA,NA,4,NA,NA,NA,NA,NA,NA,20,115.5528763,11.75774816,0.010914364,2.454549628,2.464512441,2.398370594,5.085482084,6.412205538,0.149646625,11.64733425,1.662988844,1.858203289,0.691733081,2.462368487,20,123976.882988521,215795.332380033,553806.584516208,12943709.0321661
"40","MB16","MB",50.370086,-100.534557,NA,"Grassland",NA,NA,0.5,NA,NA,NA,NA,NA,NA,18,414.587378,8.078428933,0.020049516,3.725279948,2.089197415,3.000683433,18.2459905,4.405652003,0.274898509,22.92654102,2.906935672,1.482888263,1.123066168,3.134192322,18,163273.161418267,230509.418842307,721645.460832005,15715084.0970401
"41","SK-A-06","SK",51.65753502,-106.0339856,"A","Grassland",NA,NA,1.49,NA,NA,NA,NA,NA,NA,17,31.31976411,2.814034891,-0.000245396,1.2308182,1.034619358,-0.122392202,1.378382818,1.534662068,-0.00336462,2.909680267,0.643789344,0.428310206,-0.016822305,1.16944913,17,38389.5623597369,156586.403272053,637478.068513758,14103445.4894726
"42","SK-A-08","SK",51.6879551,-106.3055368,"A","Grassland",NA,NA,0.4,NA,NA,NA,NA,NA,NA,13,61.56568744,3.184045466,0.011788721,1.842915686,1.158152547,2.474262395,2.709505904,1.736451035,0.161634921,4.607591861,1.111398318,0.551843395,0.739038832,1.571791031,13,45278.6135159232,167228.78700456,577944.485226669,13083663.9058727
"43","SK-A-12","SK",51.56350066,-105.878288,"A","Cropland",NA,NA,0.44,NA,NA,NA,NA,NA,NA,20,-21.97337175,0.249664534,-0.001176574,-0.949451028,-1.387637126,-0.558754954,-0.967048091,0.13615705,-0.016131976,-0.847023016,-0.466426942,-1.993946278,-0.080572671,-0.411775723,20,41786.7196524097,199700.319442477,714027.864150255,15388412.8240298
"44","SK-A-14","SK",51.52456729,-105.7137102,"A","Cropland",NA,NA,0.95,NA,NA,NA,NA,NA,NA,19,13.00739297,1.138865043,0.015486164,0.611534217,0.13003219,2.744090911,0.572455365,0.62109144,0.212330485,1.40587729,0.282456849,-0.476276962,0.924303554,0.655072336,19,53330.1592098869,209888.577125746,814799.519780067,19502856.7627146
"45","SK-C-06","SK",49.82483387,-105.0916483,"C","Cropland",NA,NA,0.16,6336.157731,4.001892012,NA,NA,NA,0.164569505,15,190.9158609,2.478579224,0.002010981,2.951980066,0.907685503,0.885250545,8.402207039,1.351717966,0.027572517,9.781497522,2.142367474,0.301376351,0.137429573,2.290784196,15,14783.4464502138,89775.9167742309,511520.318137443,11665559.9511958
"46","SK-C-10","SK",49.82310117,-105.05818,"C","Cropland",NA,NA,0.66,1592.674581,1.86687361,NA,NA,NA,0.090040243,22,-9.477102744,1.069531788,-0.000704939,-0.457705757,0.067220971,-0.345551515,-0.417087292,0.583279856,-0.009665405,0.156527159,-0.207060876,-0.539088181,-0.048308231,0.078183903,22,45387.4921917902,170357.715415397,632108.136760973,12388884.8525768
"47","SK-C-11","SK",49.7984491,-105.0479669,"C","Grassland",NA,NA,2.59,4545.387156,4.325593748,NA,NA,NA,0.054564661,24,-10.37692497,0.881668454,-0.00041445,-0.498004575,-0.125939196,-0.205769832,-0.456688468,0.480826708,-0.005682516,0.018455725,-0.226405045,-0.732248348,-0.028408757,0.009227731,24,58988.7404203284,152715.413628873,512663.593774731,14142156.2348184
"48","SK-C-13","SK",49.85402033,-105.1864198,"C","Grassland",NA,NA,10.62,15957.28307,19.49244347,NA,NA,NA,0.121002107,NA,-16.44031204,1.067413547,-0.004501038,-0.749767393,0.065238476,-1.550368672,-0.723538133,0.582124652,-0.061713639,-0.203127119,-0.354309353,-0.541070676,-0.303870142,-0.101389758,NA,140471.375420469,182500.543542989,587044.95254451,9662886.79472541
"49","SK-C-16","SK",49.81855445,-105.1426306,"C","Grassland",NA,NA,2.78,16443.22659,7.389411972,NA,NA,NA,0.107871979,20,38.02324665,1.326518725,-0.000404588,1.398539588,0.28255801,-0.20093882,1.673403085,0.723430252,-0.005547291,2.391286046,0.761071525,-0.323751142,-0.027732901,1.013180874,20,84407.7319538756,177472.538675166,647983.423262248,10690313.5565257
"50","SK01","SK",50.97836704,-101.787708,NA,"Cropland",NA,NA,0.22,NA,NA,NA,NA,NA,NA,17,134.4128656,6.031343392,-0.000380457,2.603820668,1.796969771,-0.189099658,5.915510216,3.289253432,-0.005216443,9.199547205,1.805002118,1.190660619,-0.026079258,2.230766084,17,31194.4315115883,126601.930131189,267138.334137207,7970131.55984734
