"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","full_wetland_area_m2","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2","gwp_ch4","gwp_n2o","gwp_sum","pl_gwp_co2","log_gwp_ch4","pl_gwp_n2o","pl_gwp_sum","total_density","wetlandBirdRichness","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"23","SK08","SK",51.0940839900001,-101.88881,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,407.043333333333,72.9566666666667,0.22,3.70693756877543,1.86306498319668,5.39364820686909,17909.9066666667,39688.4266666667,2884.64,60482.9733333333,2.88845707580328,4.59866388289486,5.66458231215589,4.10263514012533,NA,18,56948.8073622012,167854.483092107,653006.776813293,16595334.1386223
"24","SK09","SK",51.0978799900001,-101.88607,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,272.655,4.515,0.04,3.30696461793506,0.654657754649525,3.68950386898891,11996.82,2456.16,524.48,14977.46,2.4915184245507,3.3902566543477,3.96018553606208,2.71097471943287,NA,17,60408.0542119341,183777.850728252,674434.624218229,16216873.7709
"25","SK10","SK",51.0924200200001,-101.892846,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,742.067571983333,63.7275304478333,0.0344486865,4.30703676279225,1.80432708914267,3.54031247031298,32650.9731672667,34667.7765636213,451.691177388,67770.440908276,3.48681135485526,4.53992598884085,3.81090339370625,4.21634378455608,NA,9,36148.1300049451,155753.906276744,688249.646972794,16827153.2405898
"26","SK11","SK",51.0801909900001,-101.834969,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,520.717148016667,30.0201574285,0.0206472121666667,3.95299049992156,1.47741296539391,3.02991782071499,22911.5545127333,16330.965641104,270.726245929333,39513.2463997667,3.13354090872704,4.21301186509209,3.29988466314821,3.67727584638466,NA,19,22700.3667437085,161461.394228815,709213.000622225,11856676.4552738
"27","SK12","SK",51.0841869700001,-101.833827,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,351.550958035714,10.1298184058571,0.0165074941428571,3.5605777400733,1.00560165996629,2.80746419101035,15468.2421535714,5510.62121278629,216.446263201143,21195.3096295589,2.74294250770373,3.74120055966447,3.07688493267237,3.05599849336799,NA,20,37022.6231203667,197551.724937696,821458.69031625,12068976.4545486
"28","SK13","SK",51.08173996,-101.84149,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,486.645511616667,92.1186668015,0.022833693,3.88537285037823,1.96434764395848,3.13014970958475,21412.4025111333,50112.554740016,299.395382616,71824.3526337653,3.06614427752997,4.69994654365666,3.40029369784098,4.27441738125317,NA,14,66883.8367534096,207854.189552534,725531.365514051,12639465.173146
"29","SK14","SK",51.2085670000001,-101.971445,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,442.922123591667,60.2058505601667,0.0181648173333333,3.79131821498276,1.77963869628335,2.90250358929185,19488.5734380333,32751.9827047307,238.177084874667,52478.7332276387,2.97245091175575,4.51523759598153,3.17218750299737,3.9607709144489,NA,15,32668.925446604,169098.33330179,831897.592874113,14715748.248627
"30","SK15","SK",51.207881,-101.966553,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,767.957724383333,83.5242145683333,0.0123120538333333,4.3413191099202,1.9218124003803,2.51711131743838,33790.1398728667,45437.1727251733,161.435649862667,79388.7482479027,3.52104372221987,4.65741130007848,2.78533670127901,4.37451527608745,NA,12,26604.2016863652,211606.214800339,927976.798124122,14639007.580145
"31","SK16","SK",51.205542,-101.969385,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,738.59525,99.7871842866667,0.021786403,4.30234823828133,1.9990747682315,3.08338625981175,32498.191,54284.2282519467,285.663316136,87068.0825680827,3.48212993524608,4.73467366792968,3.35345199880585,4.46682225608787,NA,15,32460.8436284151,74154.6783793801,536623.80741498,14638332.0240445
"32","AB01","AB",53.1183540000001,-112.783658,NA,"Cropland",55.98,58.8666666666667,11068.2781252516,NA,NA,18.7388830364465,28.1811727783007,-9.4422897418542,24.5866666666667,9.00333333333333,-0.00333333333333333,1.03461727417592,0.954403329467788,-1.28379566274319,1081.81333333333,4897.81333333333,-43.7066666666666,5935.92,0.517497453450352,3.69000222916597,-1.52357456342408,1.80826553093382,NA,18,16300.8419426278,95309.422341593,433516.709368239,11664041.4194319
